// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> The members of GalDeMo and I were being lectured in the office.

//<0001> 楽器の没収は免れた。
<0001> Thankfully, the school won't confiscate the instruments.

//<0002> 二度と許可のないライブはしない約束と交換条件に。
<0002> But they told us to never start a concert again without permission.

//<0003> nothing
//<0180> Dung Beetle
<0180> Dung Beetle

//<0181> Mass Produced Hinata
<0181> Mass Produced Hinata

//<0182> ？？
<0182> ？？

//<0183> 「襲わねーよ!?」
<0183> 「WHY WOULD I!?」

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> Sekine
<0188> Sekine

//<0189> 「だから、体でって言ってるじゃないですか」
<0189> 「That's why I said skit.」

//<0190> Otonashi
<0190> Otonashi

//<0191> クソ坊主
<0191> クソ坊主

//<0192> 代理人
<0192> 代理人

//<0193> 微妙すぎるイケメン
<0193> 微妙すぎるイケメン

//<0194> ロリコン
<0194> ロリコン

//<0195> メガネ仲間
<0195> メガネ仲間

//<0196> 暗算日本記録保持者
<0196> 暗算日本記録保持者

//<0197> 通り魔
<0197> 通り魔

//<0198> 記憶ナシ男
<0198> 記憶ナシ男

//<0199> 音速
<0199> 音速

//<0200> 無限
<0200> 無限

//<0201> Horny Samurai
<0201> Horny Samurai

//<0202> Super Horny Squad Member 1
<0202> Super Horny Squad Member 1

//<0203> Horny Boy
<0203> Horny Boy

//<0204> Ugri Yuri
<0204> Ugri Yuri

//<0205> Depussy
<0205> Depussy

//<0206> Perverted American Dog
<0206> Perverted American Dog

//<0207> Zeus
<0207> Zeus

//<0208> Hinata mark Ⅱ
<0208> Hinata mark Ⅱ

//<0209> Dung Beetle
<0209> Dung Beetle

//<0210> Mass Produced Hinata
<0210> Mass Produced Hinata

//<0211> ？？
<0211> ？？

//<0212> 「体でもやんねーよ!」
<0212> 「I still won't do it!」

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> Iwasawa
<0215> Iwasawa

//<0216> 「そうだ。こいつはそんなことはやらない」
<0216> 「Yeah. This guy won't do something like that.」

//<0217> Otonashi
<0217> Otonashi

//<0218> クソ坊主
<0218> クソ坊主

//<0219> 代理人
<0219> 代理人

//<0220> 微妙すぎるイケメン
<0220> 微妙すぎるイケメン

//<0221> ロリコン
<0221> ロリコン

//<0222> メガネ仲間
<0222> メガネ仲間

//<0223> 暗算日本記録保持者
<0223> 暗算日本記録保持者

//<0224> 通り魔
<0224> 通り魔

//<0225> 記憶ナシ男
<0225> 記憶ナシ男

//<0226> 音速
<0226> 音速

//<0227> 無限
<0227> 無限

//<0228> Horny Samurai
<0228> Horny Samurai

//<0229> Super Horny Squad Member 1
<0229> Super Horny Squad Member 1

//<0230> Horny Boy
<0230> Horny Boy

//<0231> Ugri Yuri
<0231> Ugri Yuri

//<0232> Depussy
<0232> Depussy

//<0233> Perverted American Dog
<0233> Perverted American Dog

//<0234> Zeus
<0234> Zeus

//<0235> Hinata mark Ⅱ
<0235> Hinata mark Ⅱ

//<0236> Dung Beetle
<0236> Dung Beetle

//<0237> Mass Produced Hinata
<0237> Mass Produced Hinata

//<0238> ？？
<0238> ？？

//<0239> 「ああ、やらない」
<0239> 「Yeah, I don't and I won't.」

//<0240> Otonashi
<0240> Otonashi

//<0241> クソ坊主
<0241> クソ坊主

//<0242> 代理人
<0242> 代理人

//<0243> 微妙すぎるイケメン
<0243> 微妙すぎるイケメン

//<0244> ロリコン
<0244> ロリコン

//<0245> メガネ仲間
<0245> メガネ仲間

//<0246> 暗算日本記録保持者
<0246> 暗算日本記録保持者

//<0247> 通り魔
<0247> 通り魔

//<0248> 記憶ナシ男
<0248> 記憶ナシ男

//<0249> 音速
<0249> 音速

//<0250> 無限
<0250> 無限

//<0251> Horny Samurai
<0251> Horny Samurai

//<0252> Super Horny Squad Member 1
<0252> Super Horny Squad Member 1

//<0253> Horny Boy
<0253> Horny Boy

//<0254> Ugri Yuri
<0254> Ugri Yuri

//<0255> Depussy
<0255> Depussy

//<0256> Perverted American Dog
<0256> Perverted American Dog

//<0257> Zeus
<0257> Zeus

//<0258> Hinata mark Ⅱ
<0258> Hinata mark Ⅱ

//<0259> Dung Beetle
<0259> Dung Beetle

//<0260> Mass Produced Hinata
<0260> Mass Produced Hinata

//<0261> ？？
<0261> ？？

//<0262> 「ちなみに今の俺はHorny Samuraiという名前だがな」
<0262> 「By the way, my current name is Horny Samurai.」

//<0263> Otonashi
<0263> Otonashi

//<0264> クソ坊主
<0264> クソ坊主

//<0265> 代理人
<0265> 代理人

//<0266> 微妙すぎるイケメン
<0266> 微妙すぎるイケメン

//<0267> ロリコン
<0267> ロリコン

//<0268> メガネ仲間
<0268> メガネ仲間

//<0269> 暗算日本記録保持者
<0269> 暗算日本記録保持者

//<0270> 通り魔
<0270> 通り魔

//<0271> 記憶ナシ男
<0271> 記憶ナシ男

//<0272> 音速
<0272> 音速

//<0273> 無限
<0273> 無限

//<0274> Horny Samurai
<0274> Horny Samurai

//<0275> Super Horny Squad Member 1
<0275> Super Horny Squad Member 1

//<0276> Horny Boy
<0276> Horny Boy

//<0277> Ugri Yuri
<0277> Ugri Yuri

//<0278> Depussy
<0278> Depussy

//<0279> Perverted American Dog
<0279> Perverted American Dog

//<0280> Zeus
<0280> Zeus

//<0281> Hinata mark Ⅱ
<0281> Hinata mark Ⅱ

//<0282> Dung Beetle
<0282> Dung Beetle

//<0283> Mass Produced Hinata
<0283> Mass Produced Hinata

//<0284> ？？
<0284> ？？

//<0285> 「ちなみに今の俺はSuper Horny Squad Member 1という名前だがな」
<0285> 「By the way, my current name is Super Horny Squad Member 1.」

//<0286> Otonashi
<0286> Otonashi

//<0287> クソ坊主
<0287> クソ坊主

//<0288> 代理人
<0288> 代理人

//<0289> 微妙すぎるイケメン
<0289> 微妙すぎるイケメン

//<0290> ロリコン
<0290> ロリコン

//<0291> メガネ仲間
<0291> メガネ仲間

//<0292> 暗算日本記録保持者
<0292> 暗算日本記録保持者

//<0293> 通り魔
<0293> 通り魔

//<0294> 記憶ナシ男
<0294> 記憶ナシ男

//<0295> 音速
<0295> 音速

//<0296> 無限
<0296> 無限

//<0297> Horny Samurai
<0297> Horny Samurai

//<0298> Super Horny Squad Member 1
<0298> Super Horny Squad Member 1

//<0299> Horny Boy
<0299> Horny Boy

//<0300> Ugri Yuri
<0300> Ugri Yuri

//<0301> Depussy
<0301> Depussy

//<0302> Perverted American Dog
<0302> Perverted American Dog

//<0303> Zeus
<0303> Zeus

//<0304> Hinata mark Ⅱ
<0304> Hinata mark Ⅱ

//<0305> Dung Beetle
<0305> Dung Beetle

//<0306> Mass Produced Hinata
<0306> Mass Produced Hinata

//<0307> ？？
<0307> ？？

//<0308> 「ちなみに今の俺はHorny Boyという名前だがな」
<0308> 「By the way, my current name is Horny Boy.」

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> みんな
<0311> Everyone

//<0312> 「え?」
<0312> 「Huh?」

//<0313> Everybodyの足が止まった。
<0313> Everybody stopped walking.

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> Hisako
<0319> Hisako

//<0320> 「なんて、やばそうな名前になっちまってるんだよ…」
<0320> 「Why do you have a dangerous-sounding name like that…?」

//<0321> Otonashi
<0321> Otonashi

//<0322> クソ坊主
<0322> クソ坊主

//<0323> 代理人
<0323> 代理人

//<0324> 微妙すぎるイケメン
<0324> 微妙すぎるイケメン

//<0325> ロリコン
<0325> ロリコン

//<0326> メガネ仲間
<0326> メガネ仲間

//<0327> 暗算日本記録保持者
<0327> 暗算日本記録保持者

//<0328> 通り魔
<0328> 通り魔

//<0329> 記憶ナシ男
<0329> 記憶ナシ男

//<0330> 音速
<0330> 音速

//<0331> 無限
<0331> 無限

//<0332> Horny Samurai
<0332> Horny Samurai

//<0333> Super Horny Squad Member 1
<0333> Super Horny Squad Member 1

//<0334> Horny Boy
<0334> Horny Boy

//<0335> Ugri Yuri
<0335> Ugri Yuri

//<0336> Depussy
<0336> Depussy

//<0337> Perverted American Dog
<0337> Perverted American Dog

//<0338> Zeus
<0338> Zeus

//<0339> Hinata mark Ⅱ
<0339> Hinata mark Ⅱ

//<0340> Dung Beetle
<0340> Dung Beetle

//<0341> Mass Produced Hinata
<0341> Mass Produced Hinata

//<0342> ？？
<0342> ？？

//<0343> 「やばいことをやっちまったからさ…」
<0343> 「It's because I did something dangerous…」

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> Sekine
<0349> Sekine

//<0350> 「こえぇぇーー!!」
<0350> 「I'm so scared!!」

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> Iwasawa
<0356> Iwasawa

//<0357> 「よくわからないが、自分への戒め込みだろ?」
<0357> 「I don't quite understand, but it's a punishment on yourself, right?」

//<0358> Otonashi
<0358> Otonashi

//<0359> クソ坊主
<0359> クソ坊主

//<0360> 代理人
<0360> 代理人

//<0361> 微妙すぎるイケメン
<0361> 微妙すぎるイケメン

//<0362> ロリコン
<0362> ロリコン

//<0363> メガネ仲間
<0363> メガネ仲間

//<0364> 暗算日本記録保持者
<0364> 暗算日本記録保持者

//<0365> 通り魔
<0365> 通り魔

//<0366> 記憶ナシ男
<0366> 記憶ナシ男

//<0367> 音速
<0367> 音速

//<0368> 無限
<0368> 無限

//<0369> Horny Samurai
<0369> Horny Samurai

//<0370> Super Horny Squad Member 1
<0370> Super Horny Squad Member 1

//<0371> Horny Boy
<0371> Horny Boy

//<0372> Ugri Yuri
<0372> Ugri Yuri

//<0373> Depussy
<0373> Depussy

//<0374> Perverted American Dog
<0374> Perverted American Dog

//<0375> Zeus
<0375> Zeus

//<0376> Hinata mark Ⅱ
<0376> Hinata mark Ⅱ

//<0377> Dung Beetle
<0377> Dung Beetle

//<0378> Mass Produced Hinata
<0378> Mass Produced Hinata

//<0379> ？？
<0379> ？？

//<0380> 「さすがIwasawa。その通りだ」
<0380> 「As expected from Iwasawa. It's exactly as you say.」

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> Hisako
<0385> Hisako

//<0386> 「反省中ということか」
<0386> 「I guess you're in the middle of a reflection.」

//<0387> Otonashi
<0387> Otonashi

//<0388> クソ坊主
<0388> クソ坊主

//<0389> 代理人
<0389> 代理人

//<0390> 微妙すぎるイケメン
<0390> 微妙すぎるイケメン

//<0391> ロリコン
<0391> ロリコン

//<0392> メガネ仲間
<0392> メガネ仲間

//<0393> 暗算日本記録保持者
<0393> 暗算日本記録保持者

//<0394> 通り魔
<0394> 通り魔

//<0395> 記憶ナシ男
<0395> 記憶ナシ男

//<0396> 音速
<0396> 音速

//<0397> 無限
<0397> 無限

//<0398> Horny Samurai
<0398> Horny Samurai

//<0399> Super Horny Squad Member 1
<0399> Super Horny Squad Member 1

//<0400> Horny Boy
<0400> Horny Boy

//<0401> Ugri Yuri
<0401> Ugri Yuri

//<0402> Depussy
<0402> Depussy

//<0403> Perverted American Dog
<0403> Perverted American Dog

//<0404> Zeus
<0404> Zeus

//<0405> Hinata mark Ⅱ
<0405> Hinata mark Ⅱ

//<0406> Dung Beetle
<0406> Dung Beetle

//<0407> Mass Produced Hinata
<0407> Mass Produced Hinata

//<0408> ？？
<0408> ？？

//<0409> 「ああ」
<0409> 「Yeah, I am.」

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> Irie
<0415> Irie

//<0416> 「じゃ、全然恐くないということですよね!?」
<0416> 「Then does that mean that there's no reason to be scared of you!?」

//<0417> Otonashi
<0417> Otonashi

//<0418> クソ坊主
<0418> クソ坊主

//<0419> 代理人
<0419> 代理人

//<0420> 微妙すぎるイケメン
<0420> 微妙すぎるイケメン

//<0421> ロリコン
<0421> ロリコン

//<0422> メガネ仲間
<0422> メガネ仲間

//<0423> 暗算日本記録保持者
<0423> 暗算日本記録保持者

//<0424> 通り魔
<0424> 通り魔

//<0425> 記憶ナシ男
<0425> 記憶ナシ男

//<0426> 音速
<0426> 音速

//<0427> 無限
<0427> 無限

//<0428> Horny Samurai
<0428> Horny Samurai

//<0429> Super Horny Squad Member 1
<0429> Super Horny Squad Member 1

//<0430> Horny Boy
<0430> Horny Boy

//<0431> Ugri Yuri
<0431> Ugri Yuri

//<0432> Depussy
<0432> Depussy

//<0433> Perverted American Dog
<0433> Perverted American Dog

//<0434> Zeus
<0434> Zeus

//<0435> Hinata mark Ⅱ
<0435> Hinata mark Ⅱ

//<0436> Dung Beetle
<0436> Dung Beetle

//<0437> Mass Produced Hinata
<0437> Mass Produced Hinata

//<0438> ？？
<0438> ？？

//<0439> 「ああ、安心してくれ」
<0439> 「Yeah, you can relax.」

//<0440> nothing
<0440> nothing

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> Sekine
<0445> Sekine

//<0446> 「えぇーー、びびり損じゃないですかぁ…」
<0446> 「So that means… That there's no use in being scared…」

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> 俺たちは再び歩き出す。
<0453> We started walking again.

//<0454> Otonashi
<0454> Otonashi

//<0455> クソ坊主
<0455> クソ坊主

//<0456> 代理人
<0456> 代理人

//<0457> 微妙すぎるイケメン
<0457> 微妙すぎるイケメン

//<0458> ロリコン
<0458> ロリコン

//<0459> メガネ仲間
<0459> メガネ仲間

//<0460> 暗算日本記録保持者
<0460> 暗算日本記録保持者

//<0461> 通り魔
<0461> 通り魔

//<0462> 記憶ナシ男
<0462> 記憶ナシ男

//<0463> 音速
<0463> 音速

//<0464> 無限
<0464> 無限

//<0465> Horny Samurai
<0465> Horny Samurai

//<0466> Super Horny Squad Member 1
<0466> Super Horny Squad Member 1

//<0467> Horny Boy
<0467> Horny Boy

//<0468> Ugri Yuri
<0468> Ugri Yuri

//<0469> Depussy
<0469> Depussy

//<0470> Perverted American Dog
<0470> Perverted American Dog

//<0471> Zeus
<0471> Zeus

//<0472> Hinata mark Ⅱ
<0472> Hinata mark Ⅱ

//<0473> Dung Beetle
<0473> Dung Beetle

//<0474> Mass Produced Hinata
<0474> Mass Produced Hinata

//<0475> ？？
<0475> ？？

//<0476> 「ああ、もちろんだ」
<0476> 「Yeah, of course.」

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> 他愛の無い会話をしながら、廊下を歩く。
<0483> While talking silly, we walked down the corridor.

//<0484> Otonashi
<0484> Otonashi

//<0485> クソ坊主
<0485> クソ坊主

//<0486> 代理人
<0486> 代理人

//<0487> 微妙すぎるイケメン
<0487> 微妙すぎるイケメン

//<0488> ロリコン
<0488> ロリコン

//<0489> メガネ仲間
<0489> メガネ仲間

//<0490> 暗算日本記録保持者
<0490> 暗算日本記録保持者

//<0491> 通り魔
<0491> 通り魔

//<0492> 記憶ナシ男
<0492> 記憶ナシ男

//<0493> 音速
<0493> 音速

//<0494> 無限
<0494> 無限

//<0495> Horny Samurai
<0495> Horny Samurai

//<0496> Super Horny Squad Member 1
<0496> Super Horny Squad Member 1

//<0497> Horny Boy
<0497> Horny Boy

//<0498> Ugri Yuri
<0498> Ugri Yuri

//<0499> Depussy
<0499> Depussy

//<0500> Perverted American Dog
<0500> Perverted American Dog

//<0501> Zeus
<0501> Zeus

//<0502> Hinata mark Ⅱ
<0502> Hinata mark Ⅱ

//<0503> Dung Beetle
<0503> Dung Beetle

//<0504> Mass Produced Hinata
<0504> Mass Produced Hinata

//<0505> ？？
<0505> ？？

//<0506> 「そんなことあいつらがするわけがない…。俺ひとりならともかく」
<0506> 「There's no way they'll do something like that… I'll do it alone.」

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> Everybody
<0509> Everybody

//<0510> 「………」
<0510> 「………」

//<0511> Otonashi
<0511> Otonashi

//<0512> クソ坊主
<0512> クソ坊主

//<0513> 代理人
<0513> 代理人

//<0514> 微妙すぎるイケメン
<0514> 微妙すぎるイケメン

//<0515> ロリコン
<0515> ロリコン

//<0516> メガネ仲間
<0516> メガネ仲間

//<0517> 暗算日本記録保持者
<0517> 暗算日本記録保持者

//<0518> 通り魔
<0518> 通り魔

//<0519> 記憶ナシ男
<0519> 記憶ナシ男

//<0520> 音速
<0520> 音速

//<0521> 無限
<0521> 無限

//<0522> Horny Samurai
<0522> Horny Samurai

//<0523> Super Horny Squad Member 1
<0523> Super Horny Squad Member 1

//<0524> Horny Boy
<0524> Horny Boy

//<0525> Ugri Yuri
<0525> Ugri Yuri

