// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing
<0408> Horny Boy

//<0409> Ugly Yuri
<0409> Ugly Yuri

//<0410> Depussy
<0410> Depussy

//<0411> Perverted American Dog
<0411> Perverted American Dog

//<0412> Zeus
<0412> Zeus

//<0413> Hinata mark II
<0413> Hinata mark II

//<0414> Dung Beetle
<0414> Dung Beetle

//<0415> Mass Produced Hinata
<0415> Mass Produced Hinata

//<0416> ？？
<0416> ？？

//<0417> 「ふんっ!」
<0417> 「Hmm!」

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> 頭を思い切り下げ、腰を後ろに突き出すようにして、Hinataの背筋を伸ばすそうとするが、あまりの勢いにHinataを投げる形になった。
<0423> I lowered his head with all my might, and pulled his hips to stretch Hinata's back, but I ended up throwing him with all my might.

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> se_headdamage
<0429> se_headdamage

//<0430> 手を掴んでいるので、頭から落ちる。ごちん、と音がした。
<0430> I was holding his hand, so he felt head-first. I could hear something hard hit the floor.

//<0431> ………。
<0431> ………

//<0432> ……。
<0432> ……

//<0433> しばらく動かない…。
<0433> He's not moving at all…

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> Hinata
<0439> Hinata

//<0440> 男Ｂ
<0440> 男Ｂ

//<0441> Super Horny Squad Leader
<0441> Super Horny Squad Leader

//<0442> Handsome-chin
<0442> Handsome-chin

//<0443> Homota
<0443> Homota

//<0444> Hina-chin
<0444> Hina-chin

//<0445> Hideki
<0445> Hideki

//<0446> 男子生徒
<0446> 男子生徒

//<0447> ？？
<0447> ？？

//<0448> 「やりすぎぃーーー!!」
<0448> 「Too far!!」

//<0449> 復活すると共に、激しくツッコんできた。
<0449> As he revived, he gave a furious retort.

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> Hinata
<0455> Hinata

//<0456> 男Ｂ
<0456> 男Ｂ

//<0457> Super Horny Squad Leader
<0457> Super Horny Squad Leader

//<0458> Handsome-chin
<0458> Handsome-chin

//<0459> Homota
<0459> Homota

//<0460> Hina-chin
<0460> Hina-chin

//<0461> Hideki
<0461> Hideki

//<0462> 男子生徒
<0462> 男子生徒

//<0463> ？？
<0463> ？？

//<0464> 「Even though it's a world where we don't die, it still hurts, so think about a human's limits before you do something, Horny Boy!」
<0464> 「Even though it's a world where we don't die, it still hurts, so think about a human's limits before you do something, Horny Boy!」

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> Hinata
<0470> Hinata

//<0471> 男Ｂ
<0471> 男Ｂ

//<0472> Super Horny Squad Leader
<0472> Super Horny Squad Leader

//<0473> Handsome-chin
<0473> Handsome-chin

//<0474> Homota
<0474> Homota

//<0475> Hina-chin
<0475> Hina-chin

//<0476> Hideki
<0476> Hideki

//<0477> 男子生徒
<0477> 男子生徒

//<0478> ？？
<0478> ？？

//<0479> 「Even though it's a world where we don't die, it still hurts, so think about a human's limits before you do something, Otonashi!」
<0479> 「Even though it's a world where we don't die, it still hurts, so think about a human's limits before you do something, Otonashi!」

//<0480> Otonashi
<0480> Otonashi

//<0481> クソ坊主
<0481> クソ坊主

//<0482> 代理人
<0482> 代理人

//<0483> 微妙すぎるイケメン
<0483> 微妙すぎるイケメン

//<0484> ロリコン
<0484> ロリコン

//<0485> メガネ仲間
<0485> メガネ仲間

//<0486> 暗算日本記録保持者
<0486> 暗算日本記録保持者

//<0487> 通り魔
<0487> 通り魔

//<0488> 記憶ナシ男
<0488> 記憶ナシ男

//<0489> 音速
<0489> 音速

//<0490> 無限
<0490> 無限

//<0491> Horny Samurai
<0491> Horny Samurai

//<0492> Super Horny Squad Member 1
<0492> Super Horny Squad Member 1

//<0493> Horny Boy
<0493> Horny Boy

//<0494> Ugly Yuri
<0494> Ugly Yuri

//<0495> Depussy
<0495> Depussy

//<0496> Perverted American Dog
<0496> Perverted American Dog

//<0497> Zeus
<0497> Zeus

//<0498> Hinata mark II
<0498> Hinata mark II

//<0499> Dung Beetle
<0499> Dung Beetle

//<0500> Mass Produced Hinata
<0500> Mass Produced Hinata

//<0501> ？？
<0501> ？？

//<0502> 「わりぃ」
<0502> 「My bad.」

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> nothing
<0507> nothing

//<0508> Hinata
<0508> Hinata

//<0509> 男Ｂ
<0509> 男Ｂ

//<0510> Super Horny Squad Leader
<0510> Super Horny Squad Leader

//<0511> Handsome-chin
<0511> Handsome-chin

//<0512> Homota
<0512> Homota

//<0513> Hina-chin
<0513> Hina-chin

//<0514> Hideki
<0514> Hideki

//<0515> 男子生徒
<0515> 男子生徒

//<0516> ？？
<0516> ？？

//<0517> 「じゃあ、ランニングいくぞー」
<0517> 「Then, let's go for a jog.」

//<0518> Otonashi
<0518> Otonashi

//<0519> クソ坊主
<0519> クソ坊主

//<0520> 代理人
<0520> 代理人

//<0521> 微妙すぎるイケメン
<0521> 微妙すぎるイケメン

//<0522> ロリコン
<0522> ロリコン

//<0523> メガネ仲間
<0523> メガネ仲間

//<0524> 暗算日本記録保持者
<0524> 暗算日本記録保持者

//<0525> 通り魔
<0525> 通り魔

//<0526> 記憶ナシ男
<0526> 記憶ナシ男

//<0527> 音速
<0527> 音速

//<0528> 無限
<0528> 無限

//<0529> Horny Samurai
<0529> Horny Samurai

//<0530> Super Horny Squad Member 1
<0530> Super Horny Squad Member 1

//<0531> Horny Boy
<0531> Horny Boy

//<0532> Ugly Yuri
<0532> Ugly Yuri

//<0533> Depussy
<0533> Depussy

//<0534> Perverted American Dog
<0534> Perverted American Dog

//<0535> Zeus
<0535> Zeus

//<0536> Hinata mark II
<0536> Hinata mark II

//<0537> Dung Beetle
<0537> Dung Beetle

//<0538> Mass Produced Hinata
<0538> Mass Produced Hinata

//<0539> ？？
<0539> ？？

//<0540> 「ああ」
<0540> 「Ok.」

//<0541> se_run_ground
<0541> se_run_ground

//<0542> Hinataの後について、野球場を走る。
<0542> I followed Hinata and started to jog around the baseball field.

