// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day
//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> nothing
<0125> nothing

//<0126> nothing
<0126> nothing

//<0127> se_wakeup_bed
<0127> se_wakeup_bed

//<0128> その言葉を聞いて,俺はすぐ緊張を覚え,飛び起きる.
<0128> As I heard those words, I immediately jumped up from my bed.

//<0129> Otonashi
<0129> Otonashi

//<0130> クソ坊主
<0130> クソ坊主

//<0131> 代理人
<0131> 代理人

//<0132> 微妙すぎるイケメン
<0132> 微妙すぎるイケメン

//<0133> ロリコン
<0133> ロリコン

//<0134> メガネ仲間
<0134> メガネ仲間

//<0135> 暗算日本記録保持者
<0135> 暗算日本記録保持者

//<0136> 通り魔
<0136> 通り魔

//<0137> 記憶ナシ男
<0137> 記憶ナシ男

//<0138> 音速
<0138> 音速

//<0139> 無限
<0139> 無限

//<0140> エロ侍
<0140> エロ侍

//<0141> エロエロ団ナンバー１
<0141> エロエロ団ナンバー１

//<0142> ただのエロ少年
<0142> ただのエロ少年

//<0143> ユリブサイク
<0143> ユリブサイク

//<0144> ドピュッシー
<0144> ドピュッシー

//<0145> アメリカンエロドッグ
<0145> アメリカンエロドッグ

//<0146> ゼウス
<0146> ゼウス

//<0147> HinatamarkⅡ
<0147> HinatamarkⅡ

//<0148> 糞虫
<0148> 糞虫

//<0149> 量産型Hinata
<0149> 量産型Hinata

//<0150> ？？
<0150> ？？

//<0151> 「なんだ,何かあるのか,こんな朝っぱらから」
<0151> 「What? Is there something going on from this early in the morning?」

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> nothing
<0154> nothing

//<0155> nothing
<0155> nothing

//<0156> nothing
<0156> nothing

//<0157> Hinata
<0157> Hinata

//<0158> 男B
<0158> 男B

//<0159> エロエロ団総帥
<0159> エロエロ団総帥

//<0160> イケチン
<0160> イケチン

//<0161> ホモ太
<0161> ホモ太

//<0162> ひなチン
<0162> ひなチン

//<0163> 秀樹
<0163> 秀樹

//<0164> 男子生徒
<0164> 男子生徒

//<0165> ？？
<0165> ？？

//<0166> 「そりゃあるよ.朝食」
<0166> 「Well, yeah. Breakfast.」

//<0167> Otonashi
<0167> Otonashi

//<0168> クソ坊主
<0168> クソ坊主

//<0169> 代理人
<0169> 代理人

//<0170> 微妙すぎるイケメン
<0170> 微妙すぎるイケメン

//<0171> ロリコン
<0171> ロリコン

//<0172> メガネ仲間
<0172> メガネ仲間

//<0173> 暗算日本記録保持者
<0173> 暗算日本記録保持者

//<0174> 通り魔
<0174> 通り魔

//<0175> 記憶ナシ男
<0175> 記憶ナシ男

//<0176> 音速
<0176> 音速

//<0177> 無限
<0177> 無限

//<0178> エロ侍
<0178> エロ侍

//<0179> エロエロ団ナンバー１
<0179> エロエロ団ナンバー１

//<0180> ただのエロ少年
<0180> ただのエロ少年

//<0181> ユリブサイク
<0181> ユリブサイク

//<0182> ドピュッシー
<0182> ドピュッシー

//<0183> アメリカンエロドッグ
<0183> アメリカンエロドッグ

//<0184> ゼウス
<0184> ゼウス

//<0185> HinatamarkⅡ
<0185> HinatamarkⅡ

//<0186> 糞虫
<0186> 糞虫

//<0187> 量産型Hinata
<0187> 量産型Hinata

//<0188> ？？
<0188> ？？

//<0189> 「え…?」
<0189> 「Huh…?」

//<0190> nothing
<0190> nothing

//<0191> nothing
<0191> nothing

//<0192> nothing
<0192> nothing

//<0193> nothing
<0193> nothing

//<0194> nothing
<0194> nothing

//<0195> Hinata
<0195> Hinata

//<0196> 男B
<0196> 男B

//<0197> エロエロ団総帥
<0197> エロエロ団総帥

//<0198> イケチン
<0198> イケチン

//<0199> ホモ太
<0199> ホモ太

//<0200> ひなチン
<0200> ひなチン

//<0201> 秀樹
<0201> 秀樹

//<0202> 男子生徒
<0202> 男子生徒

//<0203> ？？
<0203> ？？

//<0204> 「朝食,食わなきゃ一日は始まらねーっての.だろ?」
<0204> 「Breakfast. You can't start a day without eating you know?」

//<0205> Otonashi
<0205> Otonashi

//<0206> クソ坊主
<0206> クソ坊主

//<0207> 代理人
<0207> 代理人

//<0208> 微妙すぎるイケメン
<0208> 微妙すぎるイケメン

//<0209> ロリコン
<0209> ロリコン

//<0210> メガネ仲間
<0210> メガネ仲間

//<0211> 暗算日本記録保持者
<0211> 暗算日本記録保持者

//<0212> 通り魔
<0212> 通り魔

//<0213> 記憶ナシ男
<0213> 記憶ナシ男

//<0214> 音速
<0214> 音速

//<0215> 無限
<0215> 無限

//<0216> エロ侍
<0216> エロ侍

//<0217> エロエロ団ナンバー１
<0217> エロエロ団ナンバー１

//<0218> ただのエロ少年
<0218> ただのエロ少年

//<0219> ユリブサイク
<0219> ユリブサイク

//<0220> ドピュッシー
<0220> ドピュッシー

//<0221> アメリカンエロドッグ
<0221> アメリカンエロドッグ

//<0222> ゼウス
<0222> ゼウス

//<0223> HinatamarkⅡ
<0223> HinatamarkⅡ

//<0224> 糞虫
<0224> 糞虫

//<0225> 量産型Hinata
<0225> 量産型Hinata

//<0226> ？？
<0226> ？？

//<0227> 「ああ…そうだよな…」
<0227> 「Yeah… I guess so…」

//<0228> Otonashi
<0228> Otonashi

//<0229> クソ坊主
<0229> クソ坊主

//<0230> 代理人
<0230> 代理人

//<0231> 微妙すぎるイケメン
<0231> 微妙すぎるイケメン

//<0232> ロリコン
<0232> ロリコン

//<0233> メガネ仲間
<0233> メガネ仲間

//<0234> 暗算日本記録保持者
<0234> 暗算日本記録保持者

//<0235> 通り魔
<0235> 通り魔

//<0236> 記憶ナシ男
<0236> 記憶ナシ男

//<0237> 音速
<0237> 音速

//<0238> 無限
<0238> 無限

//<0239> エロ侍
<0239> エロ侍

//<0240> エロエロ団ナンバー１
<0240> エロエロ団ナンバー１

//<0241> ただのエロ少年
<0241> ただのエロ少年

//<0242> ユリブサイク
<0242> ユリブサイク

//<0243> ドピュッシー
<0243> ドピュッシー

//<0244> アメリカンエロドッグ
<0244> アメリカンエロドッグ

//<0245> ゼウス
<0245> ゼウス

//<0246> HinatamarkⅡ
<0246> HinatamarkⅡ

//<0247> 糞虫
<0247> 糞虫

//<0248> 量産型Hinata
<0248> 量産型Hinata

//<0249> ？？
<0249> ？？

//<0250> 「でも,どうやって食うんだ?」
<0250> 「But, how are we going to eat?」

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> Hinata
<0256> Hinata

//<0257> 男B
<0257> 男B

//<0258> エロエロ団総帥
<0258> エロエロ団総帥

//<0259> イケチン
<0259> イケチン

//<0260> ホモ太
<0260> ホモ太

//<0261> ひなチン
<0261> ひなチン

//<0262> 秀樹
<0262> 秀樹

//<0263> 男子生徒
<0263> 男子生徒

//<0264> ？？
<0264> ？？

//<0265> 「お前は,一枚しか食券拾ってなかったのか」
<0265> 「Did you only grab one meal ticket?」

//<0266> Otonashi
<0266> Otonashi

//<0267> クソ坊主
<0267> クソ坊主

//<0268> 代理人
<0268> 代理人

//<0269> 微妙すぎるイケメン
<0269> 微妙すぎるイケメン

//<0270> ロリコン
<0270> ロリコン

//<0271> メガネ仲間
<0271> メガネ仲間

//<0272> 暗算日本記録保持者
<0272> 暗算日本記録保持者

//<0273> 通り魔
<0273> 通り魔

//<0274> 記憶ナシ男
<0274> 記憶ナシ男

//<0275> 音速
<0275> 音速

//<0276> 無限
<0276> 無限

//<0277> エロ侍
<0277> エロ侍

//<0278> エロエロ団ナンバー１
<0278> エロエロ団ナンバー１

//<0279> ただのエロ少年
<0279> ただのエロ少年

//<0280> ユリブサイク
<0280> ユリブサイク

//<0281> ドピュッシー
<0281> ドピュッシー

//<0282> アメリカンエロドッグ
<0282> アメリカンエロドッグ

//<0283> ゼウス
<0283> ゼウス

//<0284> HinatamarkⅡ
<0284> HinatamarkⅡ

//<0285> 糞虫
<0285> 糞虫

//<0286> 量産型Hinata
<0286> 量産型Hinata

//<0287> ？？
<0287> ？？

//<0288> 「え?　あ,ああ」
<0288> 「Huh? Yeah.」

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> Hinata
<0294> Hinata

//<0295> 男B
<0295> 男B

//<0296> エロエロ団総帥
<0296> エロエロ団総帥

//<0297> イケチン
<0297> イケチン

//<0298> ホモ太
<0298> ホモ太

//<0299> ひなチン
<0299> ひなチン

//<0300> 秀樹
<0300> 秀樹

//<0301> 男子生徒
<0301> 男子生徒

//<0302> ？？
<0302> ？？

//<0303> 「ったく…手のかかる奴だなぁ…」
<0303> 「Geez… You're a troublesome one…」

//<0304> 制服に着替えて,一緒に食堂までやって来る.
<0304> After changing into our uniforms, we went to the dining hall together.

//<0305> 食券を持っていない俺は,朝食をHinataに奢ってもらうことになった.
<0305> Because I didn't have a meal ticket on me, I had to borrow one from Hinata.

//<0306> ただ,ちょっとした余興付きでだが.
<0306> But Hinata decided to put some spice into it.

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> Hinata
<0312> Hinata

//<0313> 男B
<0313> 男B

//<0314> エロエロ団総帥
<0314> エロエロ団総帥

//<0315> イケチン
<0315> イケチン

//<0316> ホモ太
<0316> ホモ太

//<0317> ひなチン
<0317> ひなチン

//<0318> 秀樹
<0318> 秀樹

//<0319> 男子生徒
<0319> 男子生徒

//<0320> ？？
<0320> ？？

//<0321> 「じゃあ,まず俺から,選ぶな.かき混ぜーっと…何が出てくるかは俺にもわからないからな?」
<0321> 「Then, I'll draw mine first. Mix it up, and… Nobody will know what will come out…」

//<0322> Otonashi
<0322> Otonashi

//<0323> クソ坊主
<0323> クソ坊主

//<0324> 代理人
<0324> 代理人

//<0325> 微妙すぎるイケメン
<0325> 微妙すぎるイケメン

//<0326> ロリコン
<0326> ロリコン

//<0327> メガネ仲間
<0327> メガネ仲間

//<0328> 暗算日本記録保持者
<0328> 暗算日本記録保持者

//<0329> 通り魔
<0329> 通り魔

//<0330> 記憶ナシ男
<0330> 記憶ナシ男

//<0331> 音速
<0331> 音速

//<0332> 無限
<0332> 無限

//<0333> エロ侍
<0333> エロ侍

//<0334> エロエロ団ナンバー１
<0334> エロエロ団ナンバー１

//<0335> ただのエロ少年
<0335> ただのエロ少年

//<0336> ユリブサイク
<0336> ユリブサイク

//<0337> ドピュッシー
<0337> ドピュッシー

//<0338> アメリカンエロドッグ
<0338> アメリカンエロドッグ

//<0339> ゼウス
<0339> ゼウス

//<0340> HinatamarkⅡ
<0340> HinatamarkⅡ

//<0341> 糞虫
<0341> 糞虫

//<0342> 量産型Hinata
<0342> 量産型Hinata

//<0343> ？？
<0343> ？？

//<0344> 「ああ」
<0344> 「Fine.」

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> 上着のポケットをまさぐり,食券を取り出した.
<0350> From the pocket on his jacket, he pulled out a meal ticket.

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> Hinata
<0356> Hinata

//<0357> 男B
<0357> 男B

//<0358> エロエロ団総帥
<0358> エロエロ団総帥

//<0359> イケチン
<0359> イケチン

//<0360> ホモ太
<0360> ホモ太

//<0361> ひなチン
<0361> ひなチン

//<0362> 秀樹
<0362> 秀樹

//<0363> 男子生徒
<0363> 男子生徒

//<0364> ？？
<0364> ？？

//<0365> 「よし,朝定食Aーーー!」
<0365> 「All right, Breakfast Set A!!」

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> Hinata
<0371> Hinata

//<0372> 男B
<0372> 男B

//<0373> エロエロ団総帥
<0373> エロエロ団総帥

//<0374> イケチン
<0374> イケチン

//<0375> ホモ太
<0375> ホモ太

//<0376> ひなチン
<0376> ひなチン

//<0377> 秀樹
<0377> 秀樹

//<0378> 男子生徒
<0378> 男子生徒

//<0379> ？？
<0379> ？？

//<0380> 「次はお前のだ.さって,何が出てくるかなー?」
<0380> 「Next up is yours. Now, I wonder what yours might be?」

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> 再び,ポケットを探る.
<0386> Again, he rummaged through his pocket.

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> Hinata
<0392> Hinata

//<0393> 男B
<0393> 男B

//<0394> エロエロ団総帥
<0394> エロエロ団総帥

//<0395> イケチン
<0395> イケチン

//<0396> ホモ太
<0396> ホモ太

//<0397> ひなチン
<0397> ひなチン

//<0398> 秀樹
<0398> 秀樹

//<0399> 男子生徒
<0399> 男子生徒

//<0400> ？？
<0400> ？？

//<0401> 「これだ!」
<0401> 「This is it!!」

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> nothing
<0405> nothing

//<0406> nothing
<0406> nothing

//<0407> Hinata
<0407> Hinata

//<0408> 男B
<0408> 男B

//<0409> エロエロ団総帥
<0409> エロエロ団総帥

//<0410> イケチン
<0410> イケチン

//<0411> ホモ太
<0411> ホモ太

//<0412> ひなチン
<0412> ひなチン

//<0413> 秀樹
<0413> 秀樹

//<0414> 男子生徒
<0414> 男子生徒

//<0415> ？？
<0415> ？？

//<0416> 「トンカツ定食!」
<0416> 「Cutlet Meal Set!!」

//<0417> Otonashi
<0417> Otonashi

//<0418> クソ坊主
<0418> クソ坊主

//<0419> 代理人
<0419> 代理人

//<0420> 微妙すぎるイケメン
<0420> 微妙すぎるイケメン

//<0421> ロリコン
<0421> ロリコン

//<0422> メガネ仲間
<0422> メガネ仲間

//<0423> 暗算日本記録保持者
<0423> 暗算日本記録保持者

//<0424> 通り魔
<0424> 通り魔

//<0425> 記憶ナシ男
<0425> 記憶ナシ男

//<0426> 音速
<0426> 音速

//<0427> 無限
<0427> 無限

//<0428> エロ侍
<0428> エロ侍

//<0429> エロエロ団ナンバー１
<0429> エロエロ団ナンバー１

//<0430> ただのエロ少年
<0430> ただのエロ少年

//<0431> ユリブサイク
<0431> ユリブサイク

//<0432> ドピュッシー
<0432> ドピュッシー

//<0433> アメリカンエロドッグ
<0433> アメリカンエロドッグ

//<0434> ゼウス
<0434> ゼウス

//<0435> HinatamarkⅡ
<0435> HinatamarkⅡ

//<0436> 糞虫
<0436> 糞虫

//<0437> 量産型Hinata
<0437> 量産型Hinata

//<0438> ？？
<0438> ？？

//<0439> 「朝からは重すぎるだろっ!　起きてすぐ食えるかよっ!」
<0439> 「It's way too heavy for breakfast! I'm eating that right after I woke up!?」

//<0440> 思わずツッコんでしまう.
<0440> I gave an unexpected retort.

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> Hinata
<0446> Hinata

//<0447> 男B
<0447> 男B

//<0448> エロエロ団総帥
<0448> エロエロ団総帥

//<0449> イケチン
<0449> イケチン

//<0450> ホモ太
<0450> ホモ太

//<0451> ひなチン
<0451> ひなチン

//<0452> 秀樹
<0452> 秀樹

//<0453> 男子生徒
<0453> 男子生徒

//<0454> ？？
<0454> ？？

//<0455> 「ちなみに朝定食Aは焼き魚にごはん,納豆,味付け海苔,味噌汁の定食だ」
<0455> 「By the way, breakfast meal set A is composed of grilled fish, rice, natto, and seasoned laver.」

//<0456> Otonashi
<0456> Otonashi

//<0457> クソ坊主
<0457> クソ坊主

//<0458> 代理人
<0458> 代理人

//<0459> 微妙すぎるイケメン
<0459> 微妙すぎるイケメン

//<0460> ロリコン
<0460> ロリコン

//<0461> メガネ仲間
<0461> メガネ仲間

//<0462> 暗算日本記録保持者
<0462> 暗算日本記録保持者

//<0463> 通り魔
<0463> 通り魔

//<0464> 記憶ナシ男
<0464> 記憶ナシ男

//<0465> 音速
<0465> 音速

//<0466> 無限
<0466> 無限

//<0467> エロ侍
<0467> エロ侍

//<0468> エロエロ団ナンバー１
<0468> エロエロ団ナンバー１

//<0469> ただのエロ少年
<0469> ただのエロ少年

//<0470> ユリブサイク
<0470> ユリブサイク

//<0471> ドピュッシー
<0471> ドピュッシー

//<0472> アメリカンエロドッグ
<0472> アメリカンエロドッグ

//<0473> ゼウス
<0473> ゼウス

//<0474> HinatamarkⅡ
<0474> HinatamarkⅡ

//<0475> 糞虫
<0475> 糞虫

//<0476> 量産型Hinata
<0476> 量産型Hinata

//<0477> ？？
<0477> ？？

//<0478> 「それをくれよ!」
<0478> 「Please, give me that!」

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> Hinata
<0484> Hinata

//<0485> 男B
<0485> 男B

//<0486> エロエロ団総帥
<0486> エロエロ団総帥

//<0487> イケチン
<0487> イケチン

//<0488> ホモ太
<0488> ホモ太

//<0489> ひなチン
<0489> ひなチン

//<0490> 秀樹
<0490> 秀樹

//<0491> 男子生徒
<0491> 男子生徒

//<0492> ？？
<0492> ？？

//<0493> 「悪いがな,俺だって朝から重い食事なんてのはザラなんだ」
<0493> 「I'm sorry, I also often eat heavy in the morning.」

//<0494> Otonashi
<0494> Otonashi

//<0495> クソ坊主
<0495> クソ坊主

//<0496> 代理人
<0496> 代理人

//<0497> 微妙すぎるイケメン
<0497> 微妙すぎるイケメン

//<0498> ロリコン
<0498> ロリコン

//<0499> メガネ仲間
<0499> メガネ仲間

//<0500> 暗算日本記録保持者
<0500> 暗算日本記録保持者

//<0501> 通り魔
<0501> 通り魔

//<0502> 記憶ナシ男
<0502> 記憶ナシ男

//<0503> 音速
<0503> 音速

//<0504> 無限
<0504> 無限

//<0505> エロ侍
<0505> エロ侍

//<0506> エロエロ団ナンバー１
<0506> エロエロ団ナンバー１

//<0507> ただのエロ少年
<0507> ただのエロ少年

//<0508> ユリブサイク
<0508> ユリブサイク

//<0509> ドピュッシー
<0509> ドピュッシー

//<0510> アメリカンエロドッグ
<0510> アメリカンエロドッグ

//<0511> ゼウス
<0511> ゼウス

//<0512> HinatamarkⅡ
<0512> HinatamarkⅡ

//<0513> 糞虫
<0513> 糞虫

//<0514> 量産型Hinata
<0514> 量産型Hinata

//<0515> ？？
<0515> ？？

//<0516> 「なんでまた」
<0516> 「And why is that?」

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> Hinata
<0522> Hinata

//<0523> 男B
<0523> 男B

//<0524> エロエロ団総帥
<0524> エロエロ団総帥

//<0525> イケチン
<0525> イケチン

//<0526> ホモ太
<0526> ホモ太

//<0527> ひなチン
<0527> ひなチン

//<0528> 秀樹
<0528> 秀樹

//<0529> 男子生徒
<0529> 男子生徒

//<0530> ？？
<0530> ？？

//<0531> 「だって,トルネードは基本,夕飯時だぜ?」
<0531> 「Well, Tornado is usually held during the night, right?」

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> Hinata
<0537> Hinata

//<0538> 男B
<0538> 男B

//<0539> エロエロ団総帥
<0539> エロエロ団総帥

//<0540> イケチン
<0540> イケチン

//<0541> ホモ太
<0541> ホモ太

//<0542> ひなチン
<0542> ひなチン

//<0543> 秀樹
<0543> 秀樹

//<0544> 男子生徒
<0544> 男子生徒

//<0545> ？？
<0545> ？？

//<0546> 「朝からはさすがにガルデモのライブでも,ＮＰCたちは寝起きでテンション低いし,盛り上がらない」
<0546> 「Even though GalDeMo plays during the morning, the NPCs won't get fired up, since they're still groggy from sleep.」

//<0547> nothing
<0547> nothing

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> Hinata
<0552> Hinata

//<0553> 男B
<0553> 男B

//<0554> エロエロ団総帥
<0554> エロエロ団総帥

//<0555> イケチン
<0555> イケチン

//<0556> ホモ太
