// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day
//<0122> Otonashi
<0122> Otonashi

//<0123> クソ坊主
<0123> クソ坊主

//<0124> 代理人
<0124> 代理人

//<0125> 微妙すぎるイケメン
<0125> 微妙すぎるイケメン

//<0126> ロリコン
<0126> ロリコン

//<0127> メガネ仲間
<0127> メガネ仲間

//<0128> 暗算日本記録保持者
<0128> 暗算日本記録保持者

//<0129> 通り魔
<0129> 通り魔

//<0130> 記憶ナシ男
<0130> 記憶ナシ男

//<0131> 音速
<0131> 音速

//<0132> 無限
<0132> 無限

//<0133> Horny Samurai
<0133> Horny Samurai

//<0134> Super Horny Squad Member 1
<0134> Super Horny Squad Member 1

//<0135> Horny Boy
<0135> Horny Boy

//<0136> ユリブサイク
<0136> ユリブサイク

//<0137> ドピュッシー
<0137> ドピュッシー

//<0138> アメリカンエロドッグ
<0138> アメリカンエロドッグ

//<0139> ゼウス
<0139> ゼウス

//<0140> HinatamarkⅡ
<0140> HinatamarkⅡ

//<0141> 糞虫
<0141> 糞虫

//<0142> 量産型Hinata
<0142> 量産型Hinata

//<0143> ？？
<0143> ？？

//<0144> 「おう」
<0144> 「Yessir!」

//<0145> Otonashi
<0145> Otonashi

//<0146> クソ坊主
<0146> クソ坊主

//<0147> 代理人
<0147> 代理人

//<0148> 微妙すぎるイケメン
<0148> 微妙すぎるイケメン

//<0149> ロリコン
<0149> ロリコン

//<0150> メガネ仲間
<0150> メガネ仲間

//<0151> 暗算日本記録保持者
<0151> 暗算日本記録保持者

//<0152> 通り魔
<0152> 通り魔

//<0153> 記憶ナシ男
<0153> 記憶ナシ男

//<0154> 音速
<0154> 音速

//<0155> 無限
<0155> 無限

//<0156> Horny Samurai
<0156> Horny Samurai

//<0157> Super Horny Squad Member 1
<0157> Super Horny Squad Member 1

//<0158> Horny Boy
<0158> Horny Boy

//<0159> ユリブサイク
<0159> ユリブサイク

//<0160> ドピュッシー
<0160> ドピュッシー

//<0161> アメリカンエロドッグ
<0161> アメリカンエロドッグ

//<0162> ゼウス
<0162> ゼウス

//<0163> HinatamarkⅡ
<0163> HinatamarkⅡ

//<0164> 糞虫
<0164> 糞虫

//<0165> 量産型Hinata
<0165> 量産型Hinata

//<0166> ？？
<0166> ？？

//<0167> 「おう…」
<0167> 「OK…」

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> Hinata
<0173> Hinata

//<0174> 男Ｂ
<0174> 男Ｂ

//<0175> Super Horny Squad Leader
<0175> Super Horny Squad Leader

//<0176> イケチン
<0176> イケチン

//<0177> ホモ太
<0177> ホモ太

//<0178> ひなチン
<0178> ひなチン

//<0179> 秀樹
<0179> 秀樹

//<0180> 男子生徒
<0180> 男子生徒

//<0181> ？？
<0181> ？？

//<0182> 「さって,お前の朝食はー?」
<0182> 「Now, your breakfast for today is…」

//<0183> またポケットをまさぐる。
<0183> He started to rummage through his pocket.

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> Hinata
<0189> Hinata

//<0190> 男Ｂ
<0190> 男Ｂ

//<0191> Super Horny Squad Leader
<0191> Super Horny Squad Leader

//<0192> イケチン
<0192> イケチン

//<0193> ホモ太
<0193> ホモ太

//<0194> ひなチン
<0194> ひなチン

//<0195> 秀樹
<0195> 秀樹

//<0196> 男子生徒
<0196> 男子生徒

//<0197> ？？
<0197> ？？

//<0198> 「これだ!　マルゲリータピザ!」
<0198> 「This is it! Margherita pizza!」

//<0199> Otonashi
<0199> Otonashi

//<0200> クソ坊主
<0200> クソ坊主

//<0201> 代理人
<0201> 代理人

//<0202> 微妙すぎるイケメン
<0202> 微妙すぎるイケメン

//<0203> ロリコン
<0203> ロリコン

//<0204> メガネ仲間
<0204> メガネ仲間

//<0205> 暗算日本記録保持者
<0205> 暗算日本記録保持者

//<0206> 通り魔
<0206> 通り魔

//<0207> 記憶ナシ男
<0207> 記憶ナシ男

//<0208> 音速
<0208> 音速

//<0209> 無限
<0209> 無限

//<0210> Horny Samurai
<0210> Horny Samurai

//<0211> Super Horny Squad Member 1
<0211> Super Horny Squad Member 1

//<0212> Horny Boy
<0212> Horny Boy

//<0213> ユリブサイク
<0213> ユリブサイク

//<0214> ドピュッシー
<0214> ドピュッシー

//<0215> アメリカンエロドッグ
<0215> アメリカンエロドッグ

//<0216> ゼウス
<0216> ゼウス

//<0217> HinatamarkⅡ
<0217> HinatamarkⅡ

//<0218> 糞虫
<0218> 糞虫

//<0219> 量産型Hinata
<0219> 量産型Hinata

//<0220> ？？
<0220> ？？

//<0221> 「学食で,そんなメニューあるのかよっ!」
<0221> 「Why is something like that in a school's menu!?」

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> Hinata
<0227> Hinata

//<0228> 男Ｂ
<0228> 男Ｂ

//<0229> Super Horny Squad Leader
<0229> Super Horny Squad Leader

//<0230> イケチン
<0230> イケチン

//<0231> ホモ太
<0231> ホモ太

//<0232> ひなチン
<0232> ひなチン

//<0233> 秀樹
<0233> 秀樹

//<0234> 男子生徒
<0234> 男子生徒

//<0235> ？？
<0235> ？？

//<0236> 「ああ,すげーだろ。あるんだよ」
<0236> 「Yeah. Amazing, isn't it? There is.」

//<0237> その食券を渡される。
<0237> He handed me the ticket for it.

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> nothing
<0240> nothing

//<0241> nothing
<0241> nothing

//<0242> nothing
<0242> nothing

//<0243> Hinata
<0243> Hinata

//<0244> 男Ｂ
<0244> 男Ｂ

//<0245> Super Horny Squad Leader
<0245> Super Horny Squad Leader

//<0246> イケチン
<0246> イケチン

//<0247> ホモ太
<0247> ホモ太

//<0248> ひなチン
<0248> ひなチン

//<0249> 秀樹
<0249> 秀樹

//<0250> 男子生徒
<0250> 男子生徒

//<0251> ？？
<0251> ？？

//<0252> 「俺はーと…ハムドッグー!!」
<0252> 「As for me… A hamdog!!」

//<0253> Otonashi
<0253> Otonashi

//<0254> クソ坊主
<0254> クソ坊主

//<0255> 代理人
<0255> 代理人

//<0256> 微妙すぎるイケメン
<0256> 微妙すぎるイケメン

//<0257> ロリコン
<0257> ロリコン

//<0258> メガネ仲間
<0258> メガネ仲間

//<0259> 暗算日本記録保持者
<0259> 暗算日本記録保持者

//<0260> 通り魔
<0260> 通り魔

//<0261> 記憶ナシ男
<0261> 記憶ナシ男

//<0262> 音速
<0262> 音速

//<0263> 無限
<0263> 無限

//<0264> Horny Samurai
<0264> Horny Samurai

//<0265> Super Horny Squad Member 1
<0265> Super Horny Squad Member 1

//<0266> Horny Boy
<0266> Horny Boy

//<0267> ユリブサイク
<0267> ユリブサイク

//<0268> ドピュッシー
<0268> ドピュッシー

//<0269> アメリカンエロドッグ
<0269> アメリカンエロドッグ

//<0270> ゼウス
<0270> ゼウス

//<0271> HinatamarkⅡ
<0271> HinatamarkⅡ

//<0272> 糞虫
<0272> 糞虫

//<0273> 量産型Hinata
<0273> 量産型Hinata

//<0274> ？？
<0274> ？？

//<0275> (同じ洋食だが,そっちのほうが遙かに寝起きに優しい気がする…!!)
<0275> (They're both western food, but for some reason, I think his is a lot better for breakfast…!!)

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> 食堂のおばさん
<0282> Cafeteria Lady

//<0283> 「ほい,マルゲリータピザ」
<0283> 「Here you go, margherita pizza.」

//<0284> …でかい。
<0284> …It's huge.

//<0285> これは数人でシェアするサイズのメニューだ…
<0285> This is the size where you would need several people to finish it…

//<0286> ひとりで食い切れということなのか…
<0286> Am I supposed to eat it alone…?

//<0287> テーブルにつくと,Hinataは胃に優しそうなハムドッグを数分で食べきる。
<0287> After we sat down, Hinata finished his hamdog in minutes.

//<0288> しかしまだ俺のピザは２／３残っている…
<0288> But I still had two thirds of my pizza left…

//<0289> 最初の一切れは美味しかった。
<0289> The first piece was delicious.

//<0290> それ以降,ずっとこの味を７カット食べると思うと,気分は沈む…
<0290> But after that, from the thought that I had to eat 7 more pieces of this, I was feeling more and more down…

//<0291> しかもどんどんと冷めていき,味も落ちていく…
<0291> It'll also get cooler, so the taste would get worse…

//<0292> Hinataに手伝ってもらう
<0292> Ask Hinata to help

//<0293> ７枚重ねて一気に食べる
<0293> Stack up the 7 pieces and eat it at once

//<0294> selbtn : 
<0294> selbtn : 

//<0295> Otonashi
<0295> Otonashi

//<0296> クソ坊主
<0296> クソ坊主

//<0297> 代理人
<0297> 代理人

//<0298> 微妙すぎるイケメン
<0298> 微妙すぎるイケメン

//<0299> ロリコン
<0299> ロリコン

//<0300> メガネ仲間
<0300> メガネ仲間

//<0301> 暗算日本記録保持者
<0301> 暗算日本記録保持者

//<0302> 通り魔
<0302> 通り魔

//<0303> 記憶ナシ男
<0303> 記憶ナシ男

//<0304> 音速
<0304> 音速

//<0305> 無限
<0305> 無限

//<0306> Horny Samurai
<0306> Horny Samurai

//<0307> Super Horny Squad Member 1
<0307> Super Horny Squad Member 1

//<0308> Horny Boy
<0308> Horny Boy

//<0309> ユリブサイク
<0309> ユリブサイク

//<0310> ドピュッシー
<0310> ドピュッシー

//<0311> アメリカンエロドッグ
<0311> アメリカンエロドッグ

//<0312> ゼウス
<0312> ゼウス

//<0313> HinatamarkⅡ
<0313> HinatamarkⅡ

//<0314> 糞虫
<0314> 糞虫

//<0315> 量産型Hinata
<0315> 量産型Hinata

//<0316> ？？
<0316> ？？

//<0317> 「なあ,Hinata,手伝ってくれないか…」
<0317> 「Hey, Hinata… Can you help me finish this?」

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> Hinata
<0323> Hinata

//<0324> 男Ｂ
<0324> 男Ｂ

//<0325> Super Horny Squad Leader
<0325> Super Horny Squad Leader

//<0326> イケチン
<0326> イケチン

//<0327> ホモ太
<0327> ホモ太

//<0328> ひなチン
<0328> ひなチン

//<0329> 秀樹
<0329> 秀樹

//<0330> 男子生徒
<0330> 男子生徒

//<0331> ？？
<0331> ？？

//<0332> 「ええー…じゃ,一枚だけだぞ?」
<0332> 「What…? Fine, but it's only one piece, OK?」

//<0333> それだけでもありがたい。
<0333> That's more than enough.

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> ぺろんと食べてくれる。
<0340> He grabbed it and started to eat it.

//<0341> Otonashi
<0341> Otonashi

//<0342> クソ坊主
<0342> クソ坊主

//<0343> 代理人
<0343> 代理人

//<0344> 微妙すぎるイケメン
<0344> 微妙すぎるイケメン

//<0345> ロリコン
<0345> ロリコン

//<0346> メガネ仲間
<0346> メガネ仲間

//<0347> 暗算日本記録保持者
<0347> 暗算日本記録保持者

//<0348> 通り魔
<0348> 通り魔

//<0349> 記憶ナシ男
<0349> 記憶ナシ男

//<0350> 音速
<0350> 音速

//<0351> 無限
<0351> 無限

//<0352> Horny Samurai
<0352> Horny Samurai

//<0353> Super Horny Squad Member 1
<0353> Super Horny Squad Member 1

//<0354> Horny Boy
<0354> Horny Boy

//<0355> ユリブサイク
<0355> ユリブサイク

//<0356> ドピュッシー
<0356> ドピュッシー

//<0357> アメリカンエロドッグ
<0357> アメリカンエロドッグ

//<0358> ゼウス
<0358> ゼウス

//<0359> HinatamarkⅡ
<0359> HinatamarkⅡ

//<0360> 糞虫
<0360> 糞虫

//<0361> 量産型Hinata
<0361> 量産型Hinata

//<0362> ？？
<0362> ？？

//<0363> 「お前の調子なら,もう一切れ,いけないか?」
<0363> 「I bet you can still eat one more piece. I bet you want more! Here, take more!」

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> Hinata
<0369> Hinata

//<0370> 男Ｂ
<0370> 男Ｂ

//<0371> Super Horny Squad Leader
<0371> Super Horny Squad Leader

//<0372> イケチン
<0372> イケチン

//<0373> ホモ太
<0373> ホモ太

//<0374> ひなチン
<0374> ひなチン

//<0375> 秀樹
<0375> 秀樹

//<0376> 男子生徒
<0376> 男子生徒

//<0377> ？？
<0377> ？？

//<0378> 「朝だし,もう無理だよ」
<0378> 「It's still breakfast, I can't eat more.」

//<0379> Otonashi
<0379> Otonashi

//<0380> クソ坊主
<0380> クソ坊主

//<0381> 代理人
<0381> 代理人

//<0382> 微妙すぎるイケメン
<0382> 微妙すぎるイケメン

//<0383> ロリコン
<0383> ロリコン

//<0384> メガネ仲間
<0384> メガネ仲間

//<0385> 暗算日本記録保持者
<0385> 暗算日本記録保持者

//<0386> 通り魔
<0386> 通り魔

//<0387> 記憶ナシ男
<0387> 記憶ナシ男

//<0388> 音速
<0388> 音速

//<0389> 無限
<0389> 無限

//<0390> Horny Samurai
<0390> Horny Samurai

//<0391> Super Horny Squad Member 1
<0391> Super Horny Squad Member 1

//<0392> Horny Boy
<0392> Horny Boy

//<0393> ユリブサイク
<0393> ユリブサイク

//<0394> ドピュッシー
<0394> ドピュッシー

//<0395> アメリカンエロドッグ
<0395> アメリカンエロドッグ

//<0396> ゼウス
<0396> ゼウス

//<0397> HinatamarkⅡ
<0397> HinatamarkⅡ

//<0398> 糞虫
<0398> 糞虫

//<0399> 量産型Hinata
<0399> 量産型Hinata

//<0400> ？？
<0400> ？？

//<0401> 「そこを頼むよ…」
<0401> 「Please, I beg you…」

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> nothing
<0405> nothing

//<0406> nothing
<0406> nothing

//<0407> Hinata
<0407> Hinata

//<0408> 男Ｂ
<0408> 男Ｂ

//<0409> Super Horny Squad Leader
<0409> Super Horny Squad Leader

//<0410> イケチン
<0410> イケチン

//<0411> ホモ太
<0411> ホモ太

//<0412> ひなチン
<0412> ひなチン

//<0413> 秀樹
<0413> 秀樹

//<0414> 男子生徒
<0414> 男子生徒

//<0415> ？？
<0415> ？？

//<0416> 「じゃあ,今日だけだぞー」
<0416> 「Fine, but it's only for today.」

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> もう一枚食べてもらえた。
<0423> He ate another piece.

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> Hinata
<0429> Hinata

//<0430> 男Ｂ
<0430> 男Ｂ

//<0431> Super Horny Squad Leader
<0431> Super Horny Squad Leader

//<0432> イケチン
<0432> イケチン

//<0433> ホモ太
<0433> ホモ太

//<0434> ひなチン
<0434> ひなチン

//<0435> 秀樹
<0435> 秀樹

//<0436> 男子生徒
<0436> 男子生徒

//<0437> ？？
<0437> ？？

//<0438> 「この貸しはいつか返してもらわないとなー」
<0438> 「Someday, you're going to repay this debt.」

//<0439> Otonashi
<0439> Otonashi

//<0440> クソ坊主
<0440> クソ坊主

//<0441> 代理人
<0441> 代理人

//<0442> 微妙すぎるイケメン
<0442> 微妙すぎるイケメン

//<0443> ロリコン
<0443> ロリコン

//<0444> メガネ仲間
<0444> メガネ仲間

//<0445> 暗算日本記録保持者
<0445> 暗算日本記録保持者

//<0446> 通り魔
<0446> 通り魔

//<0447> 記憶ナシ男
<0447> 記憶ナシ男

//<0448> 音速
<0448> 音速

//<0449> 無限
<0449> 無限

//<0450> Horny Samurai
<0450> Horny Samurai

//<0451> Super Horny Squad Member 1
<0451> Super Horny Squad Member 1

//<0452> Horny Boy
<0452> Horny Boy

//<0453> ユリブサイク
<0453> ユリブサイク

//<0454> ドピュッシー
<0454> ドピュッシー

//<0455> アメリカンエロドッグ
<0455> アメリカンエロドッグ

//<0456> ゼウス
<0456> ゼウス

//<0457> HinatamarkⅡ
<0457> HinatamarkⅡ

//<0458> 糞虫
<0458> 糞虫

//<0459> 量産型Hinata
<0459> 量産型Hinata

//<0460> ？？
<0460> ？？

//<0461> (まずい!!　Hinataがホモだったことを忘れていた!!)
<0461> (Shit!! I forgot that Hinata was gay!!)

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> Hinata
<0467> Hinata

//<0468> 男Ｂ
<0468> 男Ｂ

//<0469> Super Horny Squad Leader
<0469> Super Horny Squad Leader

//<0470> イケチン
<0470> イケチン

//<0471> ホモ太
<0471> ホモ太

//<0472> ひなチン
<0472> ひなチン

//<0473> 秀樹
<0473> 秀樹

//<0474> 男子生徒
<0474> 男子生徒

//<0475> ？？
<0475> ？？

//<0476> 「どうした?　震えてねーか?」
<0476> 「What's wrong? Why are you shivering like that?」

//<0477> Otonashi
<0477> Otonashi

//<0478> クソ坊主
<0478> クソ坊主

//<0479> 代理人
<0479> 代理人

//<0480> 微妙すぎるイケメン
<0480> 微妙すぎるイケメン

//<0481> ロリコン
<0481> ロリコン

//<0482> メガネ仲間
<0482> メガネ仲間

//<0483> 暗算日本記録保持者
<0483> 暗算日本記録保持者

//<0484> 通り魔
<0484> 通り魔

//<0485> 記憶ナシ男
<0485> 記憶ナシ男

//<0486> 音速
<0486> 音速

//<0487> 無限
<0487> 無限

//<0488> Horny Samurai
<0488> Horny Samurai

//<0489> Super Horny Squad Member 1
<0489> Super Horny Squad Member 1

//<0490> Horny Boy
<0490> Horny Boy

//<0491> ユリブサイク
<0491> ユリブサイク

//<0492> ドピュッシー
<0492> ドピュッシー

//<0493> アメリカンエロドッグ
<0493> アメリカンエロドッグ

//<0494> ゼウス
<0494> ゼウス

//<0495> HinatamarkⅡ
<0495> HinatamarkⅡ

//<0496> 糞虫
<0496> 糞虫

//<0497> 量産型Hinata
<0497> 量産型Hinata

//<0498> ？？
<0498> ？？

//<0499> 「そんなことはない…」
<0499> 「It's nothing…」

//<0500> nothing
<0500> nothing

//<0501> nothing
<0501> nothing

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> ………
<0506> ………

//<0507> ……
<0507> ……

//<0508> …
<0508> …

//<0509> Otonashi
<0509> Otonashi

//<0510> クソ坊主
<0510> クソ坊主

//<0511> 代理人
<0511> 代理人

//<0512> 微妙すぎるイケメン
<0512> 微妙すぎるイケメン

//<0513> ロリコン
<0513> ロリコン

//<0514> メガネ仲間
<0514> メガネ仲間

//<0515> 暗算日本記録保持者
<0515> 暗算日本記録保持者

//<0516> 通り魔
<0516> 通り魔

//<0517> 記憶ナシ男
<0517> 記憶ナシ男

//<0518> 音速
<0518> 音速

//<0519> 無限
<0519> 無限

//<0520> Horny Samurai
<0520> Horny Samurai

//<0521> Super Horny Squad Member 1
<0521> Super Horny Squad Member 1

//<0522> Horny Boy
<0522> Horny Boy

//<0523> ユリブサイク
<0523> ユリブサイク

//<0524> ドピュッシー
<0524> ドピュッシー

//<0525> アメリカンエロドッグ
<0525> アメリカンエロドッグ

//<0526> ゼウス
<0526> ゼウス

//<0527> HinatamarkⅡ
<0527> HinatamarkⅡ

//<0528> 糞虫
<0528> 糞虫

//<0529> 量産型Hinata
<0529> 量産型Hinata

//<0530> ？？
<0530> ？？

//<0531> (…よっし!)
<0531> (…Yes!)

//<0532> どうにか,食べきった!
<0532> I finished it!

//<0533> Otonashi
<0533> Otonashi

//<0534> クソ坊主
<0534> クソ坊主

//<0535> 代理人
<0535> 代理人

//<0536> 微妙すぎるイケメン
<0536> 微妙すぎるイケメン

//<0537> ロリコン
<0537> ロリコン

//<0538> メガネ仲間
<0538> メガネ仲間

//<0539> 暗算日本記録保持者
<0539> 暗算日本記録保持者

//<0540> 通り魔
<0540> 通り魔

//<0541> 記憶ナシ男
<0541> 記憶ナシ男

//<0542> 音速
<0542> 音速

//<0543> 無限
<0543> 無限

//<0544> Horny Samurai
<0544> Horny Samurai

//<0545> Super Horny Squad Member 1
<0545> Super Horny Squad Member 1

//<0546> Horny Boy
